"NUM POLICE

4040";CODE AVENANT;TYPE AVENANT;DATE AVENANT
000000A00402874;A;2_106;14/04/2015
000000A00402874;A;2_1;15/04/2011
000000A00402874;A;1_4;19/09/2010
000000A04012811;Q;1_7;06/08/2004
000000A04019579;A;7_7;03/04/2015
000000A04020108;A;1_0;04/06/1991
000000A04022527;Q;2_6;22/02/2014
000000A41001213;Q;2_7;04/03/2011
000000A41001363;Q;0_8;01/01/2009
000000A41001531;Q;1_1;24/03/2016
000000A41001759;A;6_3;22/04/2015
000000A41001872;Q;2_3;15/04/2013
000000A41002094;R;1_11;14/03/2014
000000A41002211;Q;5_1;26/04/2021
000000A41002364;Q;0_12;15/05/2013
000000A41002971;Q;2_1;26/06/2015
000000A41003247;R;2_6;27/12/2011
000000A41003550;Q;0_5;22/07/2006
000000A41004227;Q;5_1;19/08/2005
000000A41004495;Q;1_2;18/09/2016
000000A41004495;Q;1_2;18/09/2016
000000A41004495;A;0_0;15/09/2000
000000A41004620;E;0_0;21/09/2000
000000A41005155;Q;2_0;26/09/2010
000000A41005261;Q;6_1;19/10/2012
000000A41005519;Q;2_1;20/10/2019
000000A41005609;A;5_4;02/11/2019
000000A41005609;Q;5_3;03/11/2018
000000A41005609;Q;5_1;03/11/2016
000000A41005609;A;4_1;02/11/2015
000000A41005609;A;3_4;02/11/2014
000000A41005609;Q;3_3;03/11/2013
000000A41005869;Q;0_18;21/11/2019
000000A41005869;Q;0_18;21/11/2019
000000A41005869;Q;0_18;21/11/2019
000000A41005869;Q;0_15;21/11/2016
000000A41005869;Q;0_9;21/11/2010
000000A41005962;R;8_3;24/11/2017
000000A41005962;Q;8_1;24/11/2015
000000A41006098;A;5_1;23/11/2019
000000A41006284;A;1_11;31/12/2017
000000A41006325;A;0_13;21/12/2014
000000A41006325;Q;0_9;22/12/2010
000000A41006325;Q;0_6;22/12/2007
000000A41006339;Q;3_0;21/12/2010
000000A41006545;A;4_3;25/12/2017
000000A41006545;A;4_3;25/12/2017
000000A41006545;Q;4_2;26/12/2016
000000A41006545;Q;4_2;26/12/2016
000000A41006545;Q;3_1;26/12/2012
000000A41006545;Q;1_4;26/12/2006
000000A41006545;A;1_0;08/11/2001
000000A41009997;A;0_751;01/01/2021
000000A41009997;A;0_746;17/03/2020
000000A41009997;A;0_727;01/01/2019
000000A41009997;A;0_711;01/01/2019
000000A41009997;A;0_652;01/01/2018
000000A41009997;A;0_602;28/01/2018
000000A41009997;A;0_487;18/05/2017
000000A41009997;A;0_487;18/05/2017
000000A41009997;A;0_487;18/05/2017
000000A41009997;A;0_459;17/01/2016
000000A41009997;A;0_459;17/01/2016
000000A41009997;A;0_459;17/01/2016
000000A41009997;A;0_416;01/01/2015
000000A41009997;A;0_416;01/01/2015
000000A41009997;A;0_315;27/12/2012
000000A41009997;A;0_306;01/01/2012
000000A41009997;A;0_241;04/01/2011
000000A41009997;A;0_231;04/03/2010
000000A41010095;A;4_10;04/01/2015
000000A41011510;Q;1_1;12/03/2016
000000A41011654;Q;0_5;13/03/2007
000000A41011696;R;1_2;04/04/2003
000000A41012203;A;1_0;24/05/2001
000000A41012302;Q;2_5;04/05/2013
000000A41012634;Q;2_7;29/05/2011
000000A41013184;Q;4_2;19/06/2016
000000A41013303;A;5_1;09/07/2019
000000A41013399;Q;5_1;20/07/2015
000000A41013408;A;1_11;17/07/2013
000000A41013473;Q;2_0;20/07/2012
