TRANSACTIONTYPE;"NUM POLICE

4036";CODE GARANTIE;TYPE GARANTIE
G;000000A00402874;ASSA;ASSISTANCE GOLD 10JR SS CARGL
G;000000A00402874;BG;BRIS DE GLACE
G;000000A00402874;CAS;CONTRE ASSURANCE SPECIALE
G;000000A00402874;CP;COUT DE POLICE
G;000000A00402874;INC;INCENDIE
G;000000A00402874;RC;RESPONSABILITE CIVILE
G;000000A00402874;RTI;RECOURS TIERS INCENDIE
G;000000A00402874;VOL;VOL
G;000000A00402874;CAS;CONTRE ASSURANCE SPECIALE
G;000000A00402874;CP;COUT DE POLICE
G;000000A00402874;INC;INCENDIE
G;000000A00402874;RC;RESPONSABILITE CIVILE
G;000000A00402874;RTI;RECOURS TIERS INCENDIE
G;000000A00402874;VOL;VOL
G;000000A00402874;CAS;CONTRE ASSURANCE SPECIALE
G;000000A00402874;CP;COUT DE POLICE
G;000000A00402874;INC;INCENDIE
G;000000A00402874;RC;RESPONSABILITE CIVILE
G;000000A00402874;RTI;RECOURS TIERS INCENDIE
G;000000A00402874;VOL;VOL
G;000000A04012811;ASS;ASS GOLD ET CARGLASS 60
G;000000A04012811;CAS;CONTRE ASSURANCE SPECIALE
G;000000A04012811;CP;COUT DE POLICE
G;000000A04012811;RC;RESPONSABILITE CIVILE
G;000000A04012811;RTI;RECOURS TIERS INCENDIE
G;000000A04019579;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000A04019579;BG;BRIS DE GLACE
G;000000A04019579;CAS;CONTRE ASSURANCE SPECIALE
G;000000A04019579;CP;COUT DE POLICE
G;000000A04019579;DOC;DOMMAGES AVEC COLLISION
G;000000A04019579;DPJ;DEPANNAGE,PRIVATION JOUISSANCE
G;000000A04019579;INC;INCENDIE
G;000000A04019579;RC;RESPONSABILITE CIVILE
G;000000A04019579;RTI;RECOURS TIERS INCENDIE
G;000000A04019579;VOL;VOL
G;000000A04020108;CAS;CONTRE ASSURANCE SPECIALE
G;000000A04020108;CP;COUT DE POLICE
G;000000A04020108;INC;INCENDIE
G;000000A04020108;RC;RESPONSABILITE CIVILE
G;000000A04020108;RTI;RECOURS TIERS INCENDIE
G;000000A04020108;VOL;VOL
G;000000A04022527;ASS;ASS GOLD ET CARGLASS 60
G;000000A04022527;CAS;CONTRE ASSURANCE SPECIALE
G;000000A04022527;CP;COUT DE POLICE
G;000000A04022527;RC;RESPONSABILITE CIVILE
G;000000A04022527;RTI;RECOURS TIERS INCENDIE
G;000000A41001213;ASS;ASS GOLD ET CARGLASS 60
G;000000A41001213;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41001213;CP;COUT DE POLICE
G;000000A41001213;INC;INCENDIE
G;000000A41001213;RC;RESPONSABILITE CIVILE
G;000000A41001213;RTI;RECOURS TIERS INCENDIE
G;000000A41001213;VOL;VOL
G;000000A41001363;ASS;ASS GOLD ET CARGLASS 60
G;000000A41001363;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41001363;CP;COUT DE POLICE
G;000000A41001363;INC;INCENDIE
G;000000A41001363;RC;RESPONSABILITE CIVILE
G;000000A41001363;RTI;RECOURS TIERS INCENDIE
G;000000A41001363;VOL;VOL
G;000000A41001531;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000A41001531;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41001531;CP;COUT DE POLICE
G;000000A41001531;INC;INCENDIE
G;000000A41001531;PIPT;PACKAGE IPT
G;000000A41001531;RC;RESPONSABILITE CIVILE
G;000000A41001531;RTI;RECOURS TIERS INCENDIE
G;000000A41001531;VOL;VOL
G;000000A41001759;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000A41001759;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41001759;CP;COUT DE POLICE
G;000000A41001759;INC;INCENDIE
G;000000A41001759;RC;RESPONSABILITE CIVILE
G;000000A41001759;RTI;RECOURS TIERS INCENDIE
G;000000A41001759;VOL;VOL
G;000000A41001872;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000A41001872;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41001872;CP;COUT DE POLICE
G;000000A41001872;INC;INCENDIE
G;000000A41001872;RC;RESPONSABILITE CIVILE
G;000000A41001872;RTI;RECOURS TIERS INCENDIE
G;000000A41001872;VOL;VOL
G;000000A41002094;ASS;ASS GOLD ET CARGLASS 60
G;000000A41002094;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41002094;CP;COUT DE POLICE
G;000000A41002094;INC;INCENDIE
G;000000A41002094;RC;RESPONSABILITE CIVILE
G;000000A41002094;RTI;RECOURS TIERS INCENDIE
G;000000A41002094;VOL;VOL
G;000000A41002211;AAA;PRISE EN CHARGE
G;000000A41002211;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000A41002211;BG;BRIS DE GLACE
G;000000A41002211;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41002211;CP;COUT DE POLICE
G;000000A41002211;INC;INCENDIE
G;000000A41002211;PIPT;PACKAGE IPT
G;000000A41002211;RC;RESPONSABILITE CIVILE
G;000000A41002211;RTI;RECOURS TIERS INCENDIE
G;000000A41002211;VOL;VOL
G;000000A41002364;ASS;ASS GOLD ET CARGLASS 60
G;000000A41002364;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41002364;CP;COUT DE POLICE
G;000000A41002364;INC;INCENDIE
G;000000A41002364;RC;RESPONSABILITE CIVILE
G;000000A41002364;RTI;RECOURS TIERS INCENDIE
G;000000A41002364;VOL;VOL
G;000000A41002971;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41002971;CP;COUT DE POLICE
G;000000A41002971;INC;INCENDIE
G;000000A41002971;PIPT;PACKAGE IPT
G;000000A41002971;RC;RESPONSABILITE CIVILE
G;000000A41002971;RTI;RECOURS TIERS INCENDIE
G;000000A41002971;VOL;VOL
G;000000A41003247;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000A41003247;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41003247;CP;COUT DE POLICE
G;000000A41003247;EXT;EXTENSION DE TIERCE
G;000000A41003247;IAC;INCENDIE ACCESSOIRES
G;000000A41003247;INC;INCENDIE
G;000000A41003247;RC;RESPONSABILITE CIVILE
G;000000A41003247;RTI;RECOURS TIERS INCENDIE
G;000000A41003247;TR;GARANTIE TIERCE
G;000000A41003247;VAC;VOL ACCESSOIRES
G;000000A41003247;VOL;VOL
G;000000A41003550;ASS;ASS GOLD ET CARGLASS 60
G;000000A41003550;CAS;CONTRE ASSURANCE SPECIALE
G;000000A41003550;CP;COUT DE POLICE
